"	ability"	[ә'biliti]	n. 能力,能耐,本领
"	wonderful"	['wʌndәful]	a. 惊人的,极好的
"	wood"	[wud]	n. 树林,森林;木头
"	worry"	['wʌri]	vt. 使烦恼vi. 发愁
"	worth"	[wә:θ]	a. 值得的n. 价值
"	wound"	[wu:nd]	n. 创伤；伤口vt. 使受伤；伤害
"	writing"	['raitiŋ]	n. 书写；著作
"	wrong"	[rɔŋ]	a. 错误的ad. 错误地
"	yard"	[ja:d]	n. 码
"	yourself"	[jɔ:'self]	pron. 你自己
"	youth"	[ju:θ]	n. 青春;青年
"	tion"	[rekә^'niʃәn]	n. 认出,识别
